coursecode,coursename,gsc,credits,tag,crn,avail_seats,max_seats,time,day,location,instructor,notes
BA 316,Mgmt: Valu thru People,,4.00 cr.,,16398,42,60,1600-1750,tr,132 LIL,Awad M,!ANd
EC 411,Adv Micro Theory,,4.00 cr.,,11924,25,30,0800-0950,mw,105 ESL,van den Nouweland A,!G
ANTH 161,Intro Cultural Anth,2 IC,4.00 cr.,+ Dis,10211,10,15,1000-1050,f,104 CON,tba,U
GEOG 601,Research,,1.00-16.00 cr.,,12545,30,30,tba,tba,tba,STAFF,
ENVS 399,Special Studies,,1.00-5.00 cr.,,12181,5,5,tba,tba,tba,STAFF,
ENG 391,American Novel,1,4.00 cr.,,12100,19,30,1100-1150,mwf,191 ANS,Bryant-Berg K,
ASIA 503,Thesis,,1.00-9.00 cr.,,10845,9,10,tba,tba,tba,STAFF,M
ARCH 584,Arch Design,,6.00 cr.,,10496,17,17,1300-1650,mwf,TBA,tba,!$M
EC 201,Intro Econ Analy Micro,2,4.00 cr.,+ Dis,11877,27,49,1300-1350,f,111 LIL,tba,
ARCH 606,Sp Pr Programming,,2.00 cr.,,10514,8,8,tba,tba,tba,tba,!
GEOG 181,Our Digital Earth,2,4.00 cr.,+ Lab,12483,22,25,1000-1050,r,442 MCK,tba,U
EC 101,Contemp Econ Issues,2,4.00 cr.,+ Dis,11858,40,40,0800-0850,f,107 ESL,tba,Q
GEOL 101,Earth's Dynam Interior,3,4.00 cr.,+ Lab,12568,16,28,1300-1350,w,47 COL,tba,
ANTH 171,Intro Monkeys & Apes,3,4.00 cr.,+ Lab,10231,0,15,1400-1450,r,368 CON,tba,
AFR 601,Research,,1.00-4.00 cr.,,16814,5,5,tba,tba,tba,STAFF,d
BI 602,Superv College Teach,,1.00-5.00 cr.,,11172,20,20,tba,tba,tba,STAFF,
ARCH 450,Spatial Composition,,4.00 cr.,+ Dis,10404,0,17,1700-1750,t,279 LA,tba,M
ARTD 405,Reading,,1.00-6.00 cr.,,10690,10,10,tba,tba,tba,STAFF,
IARC 486,Furniture Design,,6.00 cr.,,13014,14,14,1300-1650,mwf,TBA,tba,!$
AFR 406,Field Studies,,1.00-12.00 cr.,,10199,10,10,tba,tba,tba,STAFF,
GEOG 481,GIScience I,,4.00 cr.,+ Lab,12516,12,20,1000-1150,t,445 MCK,tba,
BI 320,Molecular Genetics,,4.00 cr.,+ Dis,11011,0,25,1200-1250,f,111 HUE,Prikryl J,a
CIS 110,Fluency with Info Tech,3,4.00 cr.,Lecture,11509,93,224,0900-0950,mwf,180 PLC,Hennessy M,U
BI 410,Tropical Marine Ecol,,4.00 cr.,Lecture,11096,0,20,1400-1520,tr,201 CON,Wood M,!M
FHS 407,Sem Superv Iss Adv,,1.00 cr.,,12266,4,10,0900-0950,r,216 CLS,Cronce J,M
FIN 240,Survey of Real Estate,,4.00 cr.,,12353,42,75,tba,,WEB,Wismer M,!WM
ENG 520,Art of the Sentence,,4.00 cr.,,12122,25,40,1000-1150,tr,195 ANS,Bergquist C,Mp
CH 401,Res Green Chem/Nanosci,,1.00-16.00 cr.,,11347,4,5,tba,tba,tba,Hutchison J,k
EC 401,Research,,1.00-21.00 cr.,,11920,10,10,tba,tba,tba,STAFF,
GEOL 408,Laboratory Projects,,1.00-6.00 cr.,,12608,10,10,tba,tba,tba,STAFF,
GEOG 410,Oregon Envmtl Politics,,4.00 cr.,,16980,2,20,1200-1350,tr,206 CON,Walker P,
ANTH 175,Evolutionary Medicine,3,4.00 cr.,+ Lab,10248,4,15,1200-1250,f,330 CON,tba,
HIST 503,Thesis,,1.00-12.00 cr.,,12839,10,10,tba,tba,tba,STAFF,
EALL 605,Reading,,1.00-16.00 cr.,,11854,10,10,tba,tba,tba,STAFF,
ARH 204,Hist Western Art I,1,4.00 cr.,+ Dis,10545,6,25,1100-1150,t,241 LA,tba,
BI 601,Research,,1.00-16.00 cr.,,11126,10,10,tba,tba,tba,STAFF,
BI 214,Gen Bio IV: Mechanisms,3,4.00 cr.,+ Lab,10986,0,28,1200-1450,r,13 KLA,Kelly A,b
GEOL 602,Superv College Teach,,1.00-16.00 cr.,,12631,20,20,tba,tba,tba,STAFF,
BI 211,Gen Biol I: Cells,3,4.00 cr.,+ Lab,10965,0,24,1500-1650,w,129 HUE,tba,a
GEOL 410,Geochem Modeling,,3.00 cr.,,12610,16,18,0800-0920,mw,254 COL,Watkins J,
DANC 372,Ballet III,,1.00 cr.,,11838,27,35,1200-1350,f,354 GRX,tba,!$Aa
CH 331,Organic Chemistry I,,4.00 cr.,,11322,181,450,0900-0950,mtrf,150 COL,Nell B,!
CH 237,Adv Gen Chemistry Lab,,2.00 cr.,+ Lab,11314,10,10,0900-1150,t,169 ONY,Nell B,A
HIST 550,The Iraq War| 2003-11,,4.00 cr.,,16529,5,5,1200-1320,mw,185 LIL,Dracobly A,
EC 601,Research,,1.00-16.00 cr.,,11947,30,30,tba,tba,tba,STAFF,
GER 198,Wrk Advising,,1.00 cr.,,12649,7,8,1500-1550,f,206 FR,Librett J,P
CDS 649,Feed & Swallow Disord,,4.00 cr.,,16055,25,25,0900-1050,mw,340 HED,Shune S,M
INTL 240,Persp Intl Development,2 IC,4.00 cr.,+ Dis,13051,19,28,1300-1350,f,122 MCK,tba,U
EC 313,Interm Macroec Theory,,4.00 cr.,,11903,59,90,1400-1550,tr,208 DEA,Evans G,!GY
INTL 240,Persp Intl Development,2 IC,4.00 cr.,+ Dis,13049,24,28,0900-0950,f,471 MCK,tba,
GEOG 510,Mountain Geography,,4.00 cr.,,16453,5,5,1400-1520,mw,206 CON,Fonstad M,
CH 401,Res Electroact Mater,,1.00-16.00 cr.,,11350,2,2,tba,tba,tba,Lonergan M,k
ANTH 270,Intro Biological Anth,3,4.00 cr.,+ Lab,10274,15,20,1600-1650,t,368 CON,tba,
BA 215,Lang of Bus Decision,,4.00 cr.,,10875,0,60,1000-1150,tr,132 LIL,Darling B,!ANY
ENG 265,Hist of Motion Picture,1,4.00 cr.,+ Dis,12087,0,10,0900-0950,f,195 ANS,tba,
ARTM 199,Special Studies,,1.00-5.00 cr.,,10732,10,10,tba,tba,tba,STAFF,$
FLR 320,Car Cultures,1,4.00 cr.,,16973,13,40,1000-1120,mw,116 ESL,Sayre G,
AAA 606,Special Problems,,1.00-5.00 cr.,,10026,10,10,tba,tba,tba,STAFF,
EDST 111,Educ Iss & Problems,2,4.00 cr.,+ Dis,16841,14,25,1100-1150,r,105 PETR,Graham M,
FIN 380,Finl Mkts & Investment,,4.00 cr.,,12362,0,46,1400-1550,mw,275 LIL,Gutierrez R,!AMnY
FIN 562,Deriv Mkt & Fin Instit,,4.00 cr.,,12375,0,46,1400-1550,tr,232 LIL,Wu Y,!M
ES 199,Sp St Studnt Organizng,,2.00 cr.,,12217,40,40,1800-2050,t,195 ANS,Hames-Garcia M,
BA 240,Managing Business Info,,4.00 cr.,+ Lab,10885,0,55,1400-1450,f,225 CHI,tba,AY
EC 320,Intro to Econometrics,,4.00 cr.,+ Lab,11908,5,31,1600-1720,r,442 MCK,tba,
INTL 240,Persp Intl Development,2 IC,4.00 cr.,+ Dis,13047,10,28,1000-1050,f,117 FEN,tba,L
FIN 612,Fundamentals Finance,,3.00 cr.,,12385,55,60,1400-1520,tr,132 LIL,McKeon S,M
CRWR 240,Intro to Fiction Writ,,4.00 cr.,,11734,15,26,1200-1350,mw,122 MCK,tba,Ab
EDST 111,Educ Iss & Problems,2,4.00 cr.,Lecture,11988,92,125,0830-0950,tr,123 GSH,Subramani S,U
CPSY 606,Prevention Fld Studies,,1.00-16.00 cr.,,11686,10,10,tba,tba,tba,STAFF,M
AEIS 102,Adv Academic Oral Comm,,4.00 cr.,,10148,0,0,1200-1350,mw,307 VOL,Alboszta A,!Aa
AEIS 110,Intro Academic Writing,,4.00 cr.,,10169,18,18,1600-1750,mw,122 MCK,Adams K,!Aa
CH 227,Gen Chemistry Lab,,2.00 cr.,+ Lab,11280,0,20,1200-1450,w,109 KLA,Greenbowe T,A
ANTH 610,Island & Coastal Arch,,1.00-5.00 cr.,,10343,13,15,1800-2050,r,313 CON,Fitzpatrick S,
ARCH 609,Prac University Teach,,1.00-6.00 cr.,,10523,10,10,tba,tba,tba,STAFF,
BI 601,Res Neural Basis Behav,,1.00-16.00 cr.,,11169,10,10,tba,tba,tba,Jaramillo S,
ARTF 270,Introduction to Fibers,,4.00 cr.,,10717,4,15,0900-1150,mw,111 MR1,tba,!$ABM
FR 510,Fr for Reading Knowled,,4.00 cr.,,16020,3,15,1400-1650,w,151 STB,Dickey C,A
FHS 407,Sem Superv Iss Begin,,1.00 cr.,,12251,0,10,0900-0950,t,222 LIB,Cronce J,M
GEOG 590,Top GIS Earth Sys Sci,,4.00 cr.,,16950,4,6,1200-1350,tr,207 CON,Bartlein P,!
BI 401,Res Invert Neuro,,1.00-16.00 cr.,,11047,10,10,tba,tba,tba,Tublitz N,
GEOG 485,Remote Sensing I,,4.00 cr.,Lecture,16456,26,40,0900-0950,mw,175 LIL,Kohler N,!
CDS 601,Research,,1.00-9.00 cr.,,11218,6,6,tba,tba,tba,STAFF,
DAN 606,Special Problems,,1.00-16.00 cr.,,11806,10,10,tba,tba,tba,STAFF,
ARTD 250,Print Media Digit Arts,,4.00 cr.,Lecture,10663,0,119,1000-1150,w,115 LA,Warren T,$AM
CRWR 340,Interm Fiction Writing,,4.00 cr.,,11738,13,20,1600-1720,mw,225 FR,Trapp B,!Ab
AEIS 112,Adv Academic Writing,,4.00 cr.,,10188,0,18,1400-1550,mw,117 GSH,Quick B,!AaL
FR 318,Surv Baroq/Enlight,1,4.00 cr.,,16016,3,20,1600-1720,mw,193 ESL,Albert-Galtier A,!A
AAD 529,Museum Education,,4.00 cr.,,17092,16,20,1200-1350,mw,JSMA,Abia-Smith L,
CH 431,Inorganic Chemistry,,4.00 cr.,,11384,0,39,1000-1050,mf,331 KLA,Tyler D,
ENVS 196,Field Studies,,1.00-5.00 cr.,,12145,10,10,tba,tba,tba,STAFF,
AAD 530,Youth Arts Curr & Meth,,4.00 cr.,,10080,19,20,tba,,WEB,Ballard C,$W
CRWR 225,Kidd Tutorial I,,4.00 cr.,+ Dis,16768,2,10,1400-1550,m,221 FR,tba,Ab
CH 561,Biochemistry,,4.00 cr.,Lecture,11400,6,6,1400-1450,mwf,123 PAC,Nolen B,
AAA 605,Reading,,1.00-5.00 cr.,,10025,10,10,tba,tba,tba,STAFF,
EC 410,Computational Econ,,4.00 cr.,,16921,56,80,1000-1120,tr,208 DEA,Evans D,!G
ANTH 163,Origin of Storytelling,3 IC,4.00 cr.,Lecture,10224,6,120,1400-1520,tr,123 GSH,Sugiyama M,U
DAN 401,Research,,1.00-4.00 cr.,,11764,10,10,tba,tba,tba,STAFF,
ARCH 470,Building Construction,,4.00 cr.,+ Lab,10421,0,16,1800-1950,t,278 LA,tba,M
ACTG 350,Intermed Accounting I,,4.00 cr.,,10110,0,46,1400-1550,tr,285 LIL,Sneed J,AM
ENG 612,Comp GTF Sem II,,1.00 cr.,,12137,31,50,1730-2020,w,106 DEA,Gershow M,M
ANTH 175,Evolutionary Medicine,3,4.00 cr.,+ Lab,10253,7,15,0900-0950,r,330 CON,tba,
FHS 407,Sem Superv Iss Adv,,1.00 cr.,,12265,1,10,0900-0950,r,192 ANS,Cronce J,M
CH 221,General Chemistry,3,4.00 cr.,,11262,0,0,1500-1550,twrf,123 PAC,tba,!Ya
ANTH 171,Intro Monkeys & Apes,3,4.00 cr.,Lecture,10230,115,180,1200-1320,tr,282 LIL,Ting N,U
HPHY 321,Human Anatomy I,,5.00 cr.,+ Lab,12890,0,20,1400-1550,t,053 KLA,tba,b
ARH 315,Hist of World Arch II,1,4.00 cr.,+ Dis,16220,22,25,1200-1250,w,241 LA,tba,
DANC 172,Ballet I,,1.00 cr.,,11821,26,35,1400-1450,mw,352 GRX,tba,$A
CH 237,Adv Gen Chemistry Lab,,2.00 cr.,Lecture,11313,79,80,0800-0850,m,145 STB,Nell B,!$HA
CH 337,Organic Chemistry Lab,,3.00 cr.,+ Lab,11328,9,26,1700-1950,w,45 KLA,Koscho M,A
CPSY 607,Sem Doc Res Vocation,,1.00-5.00 cr.,,11692,7,10,1000-1150,f,271 HED,McWhirter E,M
ARTD 410,Iss/Prac Dig Intermdia,,3.00 cr.,,16891,10,10,1200-1450,m,WH,Ives C,!$AM
EDST 111,Educ Iss & Problems,2,4.00 cr.,+ Dis,11992,21,25,1100-1150,f,122 MCK,Dorantes A,U
GEOG 405,Reading,,1.00-21.00 cr.,,12504,10,10,tba,tba,tba,STAFF,
ARH 315,Hist of World Arch II,1,4.00 cr.,+ Dis,16221,24,25,1800-1850,r,241 LA,tba,U
BI 370,Ecology,,4.00 cr.,+ Lab,11020,0,24,0900-1150,r,5 KLA,Roy B,a
ARTS 590,Iss & Prac Sculpture,,3.00 cr.,,16887,12,15,0900-1150,r,104A ART,Wojick A,!$AM
GEOL 101,Earth's Dynam Interior,3,4.00 cr.,+ Lab,12571,17,28,1100-1150,f,47 COL,tba,
FHS 215,Expl Family & Hum Serv,,4.00 cr.,,12233,48,100,1000-1150,tr,302 GER,Subramani S,!
CPSY 603,Dissertation,,1.00-16.00 cr.,,11684,19,20,tba,tba,tba,STAFF,M
ARTP 390,Interm/Adv Painting,,4.00 cr.,,10778,6,15,0800-1050,mw,151 LA,Reaves J,!$ABM
CH 403,Thesis,,1.00-12.00 cr.,,11374,5,5,tba,tba,tba,STAFF,!M
HUM 101,Humanities I,1,4.00 cr.,Lecture,12995,101,147,1200-1250,mwf,110 FEN,Bowditch P,U
BI 401,Res Visual System,,1.00-16.00 cr.,,11068,10,10,tba,tba,tba,Niell C,
ENG 199,Spec St Digital Lit I,,4.00 cr.,,16533,0,10,1400-1520,tr,301 GER,Kaufman H,
ENG 104,Intro Lit: Fiction,1,4.00 cr.,,16868,0,0,1300-1350,mwf,112 ESL,tba,
BI 401,Res Neuro Genetics,,1.00-16.00 cr.,,11059,10,10,tba,tba,tba,Herman T,
INTL 101,Intro to Intl Issues,2 IC,4.00 cr.,+ Dis,13041,9,23,1100-1150,f,117 FEN,tba,
GER 507,Sem Fairy Tales,,4.00 cr.,,15989,28,36,1800-1920,mw,106 FR,Ostmeier D,K
FHS 407,Sem Superv Iss Begin,,1.00 cr.,,12257,1,10,0900-0950,r,101 PETR,Cronce J,M
CHN 425,Iss Mod Chinese Lit,IC,4.00 cr.,,16088,18,20,1600-1850,t,45 COL,Groppe A,
CLAS 110,Classical Mythology,1 IP,4.00 cr.,+ Dis,11621,0,25,1100-1150,r,306 DEA,tba,
GEOG 142,Human Geography,2 IC,4.00 cr.,+ Dis,12473,18,24,1400-1450,w,106 CON,tba,
BI 380,Evolution,,4.00 cr.,+ Dis,16168,0,25,1400-1450,w,5 KLA,tba,a
CPSY 217,Stu Hlth & Well-Being,,3.00 cr.,,16777,36,40,1400-1520,tr,101 JAQ,Harbert K,
ACTG 211,Intro Accounting I,,4.00 cr.,,10094,0,60,1200-1350,mw,162 LIL,Clement R,!AY
ARCH 683,Arch Design Track II,,6.00 cr.,,10535,7,17,1300-1650,mwf,TBA,tba,M
ARCH 561,Structural Behavior,,4.00 cr.,+ Lab,10475,0,14,1200-1350,t,101A MCK,tba,M
FLR 250,Intro to Folklore,1 IP,4.00 cr.,+ Dis,12392,10,10,0800-0850,r,122 MCK,tba,
EC 202,Intro Econ Analy Macro,2,4.00 cr.,+ Dis,11888,28,49,1400-1450,f,116 ESL,tba,
ENG 110,Intro to Film & Media,1,4.00 cr.,,12060,0,10,1200-1350,tr,360 CON,tba,
CH 227,Gen Chemistry Lab,,2.00 cr.,+ Lab,11284,7,20,1600-1850,w,109 KLA,Greenbowe T,A
ANTH 171,Intro Monkeys & Apes,3,4.00 cr.,+ Lab,10232,1,15,1500-1550,r,368 CON,tba,
AAAP 411,Intro Historic Preserv,,3.00 cr.,,10031,6,10,tba,,WEB,tba,AGM
AEIS 110,Intro Academic Writing,,4.00 cr.,,15976,16,18,1400-1550,tr,102 PETR,Butler B,!Aa
HPHY 409,Prac Anat Peer Tutor,,1.00-5.00 cr.,,12947,23,25,tba,,,Runyeon J,M
HIST 325,Precolonial Africa,2 IC,4.00 cr.,,16425,18,50,1000-1050,mwf,214 MCK,Braun L,
ARCH 584,Arch Design,,6.00 cr.,,10492,17,17,1300-1650,mwf,TBA,tba,!$M
COLT 232,Literature and Film,1 IC,4.00 cr.,+ Dis,16511,4,20,1000-1050,f,300 VIL,tba,
EC 320,Intro to Econometrics,,4.00 cr.,+ Lab,11906,0,32,1600-1720,w,442 MCK,tba,
BI 410,Tropical Marine Ecol,,4.00 cr.,+ Dis,11097,0,20,1000-1120,t,129 HUE,Wood M,Mb
ARCH 484,Arch Design,,6.00 cr.,,10431,17,17,1300-1650,mwf,TBA,tba,!$M
CH 401,Res Solar Energy Mater,,1.00-16.00 cr.,,11366,3,3,tba,tba,tba,Boettcher S,k
AEIS 107,Read Academ Discourse,,4.00 cr.,,10154,0,0,1000-1150,mw,240B MCK,Dold C,!Aa
CIS 212,Computer Science III,4,4.00 cr.,+ Lab,11549,20,25,1400-1450,t,026 KLA,tba,
INTL 260,Cul| Capital| & Global,2 IC,4.00 cr.,+ Dis,13062,17,31,1100-1150,f,301 GER,tba,
INTL 606,Field Studies,,1.00-12.00 cr.,,13092,10,10,tba,tba,tba,STAFF,
GEOG 585,Remote Sensing I,,4.00 cr.,Lecture,16459,0,0,0900-0950,mw,175 LIL,Kohler N,!
CRES 610,Improv for Disp Resol,,2.00 cr.,,11722,22,30,1400-1750,f 10/07,TBA TBA,Tint B,BPV
CIS 415,Operating Systems,,4.00 cr.,+ Dis,11579,0,25,1000-1050,f,026 KLA,tba,
CHN 605,Reading,,1.00-16.00 cr.,,11494,12,12,tba,tba,tba,STAFF,
CH 401,Res Solid St Syn/Mech,,1.00-16.00 cr.,,11348,3,3,tba,tba,tba,Johnson D,k
ARH 210,Cntmp Asian Art & Arch,1 IC,4.00 cr.,Lecture,16200,51,100,1000-1120,tr,115 LA,Lin J,
ARTF 409,Term Creative Proj BFA,,1.00-12.00 cr.,,10725,10,10,tba,tba,tba,STAFF,$
ARH 507,Sem Contem Thry Critic,,4.00 cr.,,16903,13,15,0830-1050,w,241 LA,Lin J,
INTL 101,Intro to Intl Issues,2 IC,4.00 cr.,+ Dis,13036,20,22,1000-1050,f,222 LA,tba,U
ARTC 604,Internship,,1.00-12.00 cr.,,10656,10,10,tba,tba,tba,STAFF,
COLT 101,Intro Comparative Lit,1 IP,4.00 cr.,+ Dis,11638,8,20,1300-1350,r,361 PLC,tba,
FR 601,Research,,1.00-6.00 cr.,,12456,10,10,tba,tba,tba,STAFF,A
DAN 602,Superv College Teach,,1.00-5.00 cr.,,11803,10,10,tba,tba,tba,STAFF,
ARCH 503,Thesis,,1.00-9.00 cr.,,10444,10,10,tba,tba,tba,STAFF,
FLR 503,Thesis,,1.00-12.00 cr.,,12406,10,10,tba,tba,tba,STAFF,
GEOL 507,Sem Curr Topics Geol,,1.00 cr.,,12618,47,55,1600-1720,w,110 WIL,Dorsey R,
EALL 607,Sem Multiliteracies,,4.00 cr.,,16069,2,10,1400-1650,w,217 FR,Brown L,
CRES 610,Prof Dev Seminar,,1.00 cr.,,11721,27,30,1200-1320,m,282 KNI,Vos H,M
HPHY 512,Sleep Physiology,,4.00 cr.,Lecture,12967,2,2,1400-1520,tr,121 MCK,Lovering A,$!
CH 601,Res Electroact Mater,,1.00-16.00 cr.,,11412,7,7,tba,tba,tba,Lonergan M,k
ARCH 607,Sem Track II/Eugene,,3.00 cr.,,10518,29,29,1400-1650,r,TBA,tba,M
EC 320,Intro to Econometrics,,4.00 cr.,+ Lab,11909,23,31,1730-1850,r,442 MCK,tba,
GRK 503,Thesis,,1.00-16.00 cr.,,12700,5,5,tba,tba,tba,STAFF,
ANTH 161,Intro Cultural Anth,2 IC,4.00 cr.,+ Dis,10216,11,15,1400-1450,f,201 CON,tba,
ARCH 550,Spatial Composition,,4.00 cr.,+ Dis,10472,13,13,1900-1950,t,279 LA,tba,M
ENVS 450,Political Ecology,,4.00 cr.,,12193,7,30,1000-1150,mw,206 CON,Walker P,!L
CPSY 503,Thesis,,1.00-16.00 cr.,,11681,10,10,tba,tba,tba,STAFF,
ENG 301,Found Eng Mjr: Context,1,4.00 cr.,+ Dis,17123,15,20,1600-1650,r,105 PETR,tba,
CH 417,Physical Chemistry Lab,,4.00 cr.,+ Lab,11381,5,14,1400-1750,w,120 KLA,Lonergan M,A
HIST 583,Top New World Pirates,,4.00 cr.,,16561,5,5,1400-1520,tr,185 LIL,Haskett R,
HIST 405,Reading,,1.00-6.00 cr.,,12825,15,15,tba,tba,tba,STAFF,
CH 227,Gen Chemistry Lab,,2.00 cr.,+ Lab,11292,0,0,1200-1450,r,115 KLA,Greenbowe T,A
HPHY 333,Motor Control,,4.00 cr.,+ Lab,12913,0,16,1200-1350,t,075B KLA,tba,M
HPHY 412,Sleep Physiology,,4.00 cr.,+ Lab,12960,0,14,1800-2050,t,4 SRC,tba,!M
ARTD 510,Imaging the City,,4.00 cr.,,16997,18,18,1500-1650,tr,WSB,Hickman C,$AM
COLT 360,Gender & Ident in Lit,1 IP,4.00 cr.,,11651,0,30,1600-1720,tr,300 VIL,Eccleston R,
AAAP 510,Cultural Resource Mgmt,,3.00 cr.,,16838,9,10,1200-1320,tr,WSB,Ranzetta K,
EC 380,Intl Econ Issues,2,4.00 cr.,,11917,0,90,tba,,WEB,Haynes S,!GWb
ARCH 507,Sem Digital Practice,,3.00 cr.,,10452,0,5,1200-1350,tr,278 LA,Donofrio M,!Mj
ENG 207,Shakespeare,1,4.00 cr.,,12066,0,7,1100-1150,mwf,185 LIL,tba,
CH 417,Physical Chemistry Lab,,4.00 cr.,+ Lab,11382,0,14,1400-1750,r,120 KLA,Lonergan M,A
EDST 635,Social Studies Concept,,4.00 cr.,,12034,23,25,1600-1750,r,116 ED,Sequeira C,M
ARTM 557,Top Adv Production,,4.00 cr.,,10743,0,15,1200-1450,tr,101C ART,Kivarkis A,!$AM
FIN 406,Sp Pr Cred Fin Grp I,,1.00 cr.,,12368,10,10,1500-1650,f 9/26-10/30,285 LIL,Moulton J,PV
COLT 232,Literature and Film,1 IC,4.00 cr.,+ Dis,16504,16,20,1300-1350,r,131 GSH,tba,
ARTP 381,Intro Painting II,,4.00 cr.,,10777,5,17,1200-1450,mw,151 LA,Lionni S,!$ABMd
ANTH 150,World Archaeology,2 IC,4.00 cr.,+ Dis,10206,9,15,1100-1150,f,204 CON,tba,
ES 370,Top Natives in Film,IP,4.00 cr.,,16678,23,40,1000-1120,mw,255 LIL,tba,
ART 116,Core Interdis Lab,,4.00 cr.,,10610,9,17,0800-1050,mw,188 LA,Wallace M,!$ABM
HIST 618,Comp Exam Preparation,,5.00 cr.,,12859,15,15,tba,tba,tba,STAFF,!
CH 561,Biochemistry,,4.00 cr.,+ Dis,11402,3,3,1200-1250,r,331 KLA,Nolen B,
CH 401,Res Signal Transduct,,1.00-16.00 cr.,,11357,3,3,tba,tba,tba,Prehoda K,k
EDST 225,Sch & Represnt in Film,,4.00 cr.,,11999,0,28,1000-1150,tr,246 GER,Smithers L,
EC 605,Reading,,1.00-16.00 cr.,,11950,10,10,tba,tba,tba,STAFF,
EC 320,Intro to Econometrics,,4.00 cr.,+ Lab,11907,18,31,1730-1850,w,442 MCK,tba,
ENG 486,New Med & Digital Cul,,4.00 cr.,,12117,0,34,1200-1320,tr,191 ANS,Kaufman H,tM
CIS 313,Interm Data Structures,,4.00 cr.,+ Dis,11553,0,28,1200-1250,t,026 KLA,tba,
HPHY 321,Human Anatomy I,,5.00 cr.,+ Lab,12891,0,20,0800-0950,r,053 KLA,tba,b
BA 352,Leadership & Communic,,4.00 cr.,,10900,0,36,0800-0950,mw,245 LIL,Chinn N,!AMYkx
CFT 607,Sem Research & Writing,,1.00 cr.,,11242,24,26,1000-1150,f,189 PLC,tba,M
ARCH 407,Sem Digital Practice,,3.00 cr.,,10382,5,5,1200-1350,tr,278 LA,Donofrio M,!Mj
GEOG 406,Field Studies,,1.00-6.00 cr.,,12506,10,10,tba,tba,tba,STAFF,
ACTG 213,Intro Accounting II,,4.00 cr.,Lecture,10101,14,157,1000-1120,mw,101 LLCS,Tomcal M,!A
BA 318,Fin: Valu thru Capital,,4.00 cr.,,10896,21,60,1200-1350,tr,262 LIL,tba,!ANd
CH 601,Res Chemical Education,,1.00-16.00 cr.,,11430,5,5,tba,tba,tba,Greenbowe T,k
CDS 201,Comm Disord Soc/Media,IP,4.00 cr.,,11205,111,150,1200-1350,mw,101 LLCS,McLaughlin K,!
CH 601,Res Solid State Chem,,1.00-16.00 cr.,,11414,5,5,tba,tba,tba,Page C,k
ARTD 515,Video Art: Exper Film,,4.00 cr.,,16383,8,18,1500-1750,mw,124 MR2,tba,$A
ANTH 362,Human Biol Variation,3 IP,4.00 cr.,+ Dis,16366,0,20,1200-1250,r,368 CON,tba,
ARTS 393,Top Steel/Everyday Mat,,4.00 cr.,,16890,10,15,1200-1450,tr,104A ART,Wojick A,!$AM
FLR 250,Intro to Folklore,1 IP,4.00 cr.,Lecture,12389,44,60,0830-0950,tr,145 STB,Gilman L,U
FIN 409,Practicum,,1.00-12.00 cr.,,12369,20,20,tba,tba,tba,STAFF,
EC 461,Indust Org & Pub Pol,,4.00 cr.,,16924,36,80,1000-1120,mw,125 MCK,Friedt F,!G
EC 340,Iss Public Economics,2,4.00 cr.,,11913,50,90,1600-1720,tr,240A MCK,Biemiller N,!G
ARTM 604,Internship,,1.00-12.00 cr.,,10746,10,10,tba,tba,tba,STAFF,
EC 202,Intro Econ Analy Macro,2,4.00 cr.,+ Dis,11884,0,49,1000-1050,f,162 LIL,tba,
CDS 626,Prof Practices Schools,,1.00 cr.,,11231,10,10,tba,,,Boettcher S,!
BI 320,Molecular Genetics,,4.00 cr.,+ Dis,11010,0,25,1100-1150,f,111 HUE,Prikryl J,a
ANTH 150,World Archaeology,2 IC,4.00 cr.,Lecture,10202,57,120,1200-1320,mw,182 LIL,Gallagher D,U
ENG 104,Intro Lit: Fiction,1,4.00 cr.,,12052,0,12,1600-1720,mw,185 LIL,tba,
EDST 605,Read Comps,,4.00 cr.,,12022,7,8,tba,tba,tba,STAFF,
HIST 450,The Iraq War| 2003-11,,4.00 cr.,,12833,0,30,1200-1320,mw,185 LIL,Dracobly A,
AIM 607,Sem Writing Research,,2.00 cr.,,16576,20,20,tba,9/12-10/07,WEB,Maitland-Gholson J,!$PTWV
CIS 212,Computer Science III,4,4.00 cr.,+ Lab,11548,5,25,1000-1050,t,026 KLA,tba,
CHN 507,Sem Novels,,4.00 cr.,,16087,2,5,1600-1850,w,45 COL,Epstein M,
CFT 609,Prac Advanced,,4.00 cr.,,11243,5,8,1600-1850,m,CFT,tba,M
GEOG 142,Human Geography,2 IC,4.00 cr.,+ Dis,12475,11,23,1200-1250,r,106 CON,tba,
AEIS 110,Intro Academic Writing,,4.00 cr.,,10164,18,18,1000-1150,mw,214 FR,Morris J,!Aa
IARC 484,Interior Design,,6.00 cr.,,13012,25,36,1300-1650,mwf,TBA,tba,!$M
AEIS 101,Intro Acad Oral Comm,,4.00 cr.,,10144,22,22,1000-1150,tr,107 PETR,Eustice N,!Aa
GEOL 305,Dinosaurs,3,4.00 cr.,,12587,70,200,0830-0950,tr,282 LIL,Baxter M,
ARTC 355,Top Intermed Ceramics,,4.00 cr.,,10645,2,15,1200-1450,mw,105B ART,Mc Donald I,!$ABM
CDS 602,Superv College Teach,,1.00-9.00 cr.,,11219,6,6,tba,tba,tba,STAFF,
HPHY 321,Human Anatomy I,,5.00 cr.,+ Lab,12880,0,20,1600-1750,m,053 KLA,tba,b
